iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
PER,South America,Peru,2020-01-07,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,,,,tests performed,,,,,,,,,,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PER,South America,Peru,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PER,South America,Peru,2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PER,South America,Peru,2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PER,South America,Peru,2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PER,South America,Peru,2020-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tests performed,,,,,,,,,,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PER,South America,Peru,2020-01-13,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,,,,,tests performed,,,,,,,,,,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PER,South America,Peru,2020-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,tests performed,,,,,,,,,,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PER,South America,Peru,2020-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,tests performed,,,,,,,,,,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
PER,South America,Peru,2020-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,tests performed,,,,,,,,,,0.0,32971846.0,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
