"Título","","","","","","","","","","",""
"Lista por Áreas de : H: Su hogar tiene: Conexión a Internet, H: Su hogar tiene: Conexión a TV por cable o satelital, H: Su hogar tiene: Teléfono celular, H: Su hogar tiene: Teléfono fijo","","","","","","","","","","",""
"Área Geográfica","","","","","","","","","","",""
"Toda la Base de Datos","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Código","Provincia","Sí tiene conexión a internet","No tiene conexión a internet","Sí tiene conexión a TV por cable o satelital","No tiene conexión a TV por cable o satelital","Sí tiene teléfono celular","No tiene teléfono celular","Sí tiene teléfono fijo","No tiene teléfono fijo",""
"","101","Amazonas, provincia: Chachapoyas","00 000 000 001 666","00 000 000 013 671","00 000 000 003 930","00 000 000 011 407","00 000 000 012 862","00 000 000 002 475","00 000 000 000 450","00 000 000 014 887",""
"","102","Amazonas, provincia: Bagua","00 000 000 000 954","00 000 000 019 520","00 000 000 004 528","00 000 000 015 946","00 000 000 012 505","00 000 000 007 969","00 000 000 000 318","00 000 000 020 156",""
"","103","Amazonas, provincia: Bongara","00 000 000 000 234","00 000 000 007 579","00 000 000 001 131","00 000 000 006 682","00 000 000 006 311","00 000 000 001 502","00 000 000 000 046","00 000 000 007 767",""
"","104","Amazonas, provincia: Condorcanqui","00 000 000 000 057","00 000 000 009 810","00 000 000 000 607","00 000 000 009 260","00 000 000 002 215","00 000 000 007 652","00 000 000 000 059","00 000 000 009 808",""
"","105","Amazonas, provincia: Luya","00 000 000 000 271","00 000 000 012 931","00 000 000 001 031","00 000 000 012 171","00 000 000 009 704","00 000 000 003 498","00 000 000 000 054","00 000 000 013 148",""
"","106","Amazonas, provincia: Rodríguez de Mendoza","00 000 000 000 195","00 000 000 008 973","00 000 000 001 305","00 000 000 007 863","00 000 000 006 243","00 000 000 002 925","00 000 000 000 101","00 000 000 009 067",""
"","107","Amazonas, provincia: Utcubamba","00 000 000 001 406","00 000 000 030 097","00 000 000 005 804","00 000 000 025 699","00 000 000 024 665","00 000 000 006 838","00 000 000 000 285","00 000 000 031 218",""
"","201","Áncash, provincia: Huaraz","00 000 000 011 896","00 000 000 034 358","00 000 000 013 806","00 000 000 032 448","00 000 000 038 877","00 000 000 007 377","00 000 000 007 678","00 000 000 038 576",""
"","202","Áncash, provincia: Aija","00 000 000 000 063","00 000 000 001 942","00 000 000 000 263","00 000 000 001 742","00 000 000 001 363","00 000 000 000 642","00 000 000 000 022","00 000 000 001 983",""
"","203","Áncash, provincia: Antonio Raymondi","00 000 000 000 030","00 000 000 003 897","00 000 000 000 152","00 000 000 003 775","00 000 000 003 055","00 000 000 000 872","00 000 000 000 023","00 000 000 003 904",""
